Features,Count,Missing Percentage,Cardinality,Mode,Mode Frequency,Mode Percentage,2nd Mode,2nd Mode Frequency,2nd Mode Percentage
id,30940,0.0,30940,tr22204,1,0.00323206205559,tr1183,1,0.00323206205559
workclass,30940,5.60762766645,9, Private,21576,69.7349709114, Self-emp-not-inc,2406,7.77634130575
education,30940,0.0,16, HS-grad,9976,32.2430510666, Some-college,6938,22.4240465417
education-num,30940,0.0,16,9,9976,32.2430510666,10,6938,22.4240465417
marital-status,30940,0.0,7, Married-civ-spouse,14201,45.8985132515, Never-married,10167,32.8603749192
occupation,30940,5.63025210084,15, Prof-specialty,3932,12.7084680026, Craft-repair,3887,12.5630252101
relationship,30940,0.0,6, Husband,12496,40.3878474467, Not-in-family,7904,25.5462184874
race,30940,0.0,5, White,26442,85.4621848739, Black,2965,9.58306399483
sex,30940,0.0,2, Male,20705,66.919844861, Female,10235,33.080155139
hours-per-week,30940,0.0,93,40,14470,46.7679379444,50,2680,8.66192630899
native-country,30940,1.7905623788,42, United-States,27719,89.5895281189, Mexico,607,1.96186166774
target,30940,0.0,2, <=50K,23506,75.9728506787, >50K,7434,24.0271493213
